0	오늘	O
1	점심	O
2	으로	O
3	김치찌개	FOOD-B
4	200	QTY-B
5	g	UNIT-B
6	과	O
7	공깃밥	FOOD-B
8	한	QTY-B
9	공기	UNIT-B
10	를	O
11	먹었어	O

0	아침	O
1	에	O
2	딸기	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	식빵	FOOD-B
6	2	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	블루베리	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	식빵	FOOD-B
6	1	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	사과	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	식빵	FOOD-B
6	2	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	딸기	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	호밀빵	FOOD-B
6	1	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	복숭아	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	식빵	FOOD-B
6	3	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	딸기	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	토스트	FOOD-B
6	2	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	라즈베리	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	식빵	FOOD-B
6	1	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	딸기	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	크루아상	FOOD-B
6	2	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	오렌지	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	식빵	FOOD-B
6	2	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	딸기	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	호밀빵	FOOD-B
6	2	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	포도	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	식빵	FOOD-B
6	1	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	딸기	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	스콘	FOOD-B
6	2	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	귤	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	식빵	FOOD-B
6	1	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	딸기	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	팬케이크	FOOD-B
6	2	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	딸기	FOOD-B
3	잼	FOOD-I
4	발라진	FOOD-I
5	식빵	FOOD-B
6	2	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	아침	O
1	에	O
2	키위	FOOD-B
3	잼	FOOD-I
4	바른	FOOD-I
5	식빵	FOOD-B
6	1	QTY-B
7	조각	UNIT-B
8	먹었어	O

0	오늘	O
1	저녁	O
2	된장찌개	FOOD-B
3	두	QTY-B
4	그릇	UNIT-B
5	과	O
6	불고기	FOOD-B
7	한	QTY-B
8	접시	UNIT-B
9	를	O
10	먹었어	O

0	오늘	O
1	저녁	O
2	김치찌개	FOOD-B
3	0.5	QTY-B
4	그릇	UNIT-B
5	과	O
6	갈비	FOOD-B
7	1.5	QTY-B
8	접시	UNIT-B
9	를	O
10	먹었어	O

0	오늘	O
1	저녁	O
2	된장찌개	FOOD-B
3	0.5	QTY-B
4	그릇	UNIT-B
5	과	O
6	불고기	FOOD-B
7	1.5	QTY-B
8	접시	UNIT-B
9	를	O
10	먹었어	O

0	오늘	O
1	점심	O
2	비빔밥	FOOD-B
3	0.5	QTY-B
4	그릇	UNIT-B
5	과	O
6	잡채	FOOD-B
7	1.5	QTY-B
8	접시	UNIT-B
9	를	O
10	먹었어	O

0	오늘	O
1	아침	O
2	김치찌개	FOOD-B
3	0.5	QTY-B
4	그릇	UNIT-B
5	과	O
6	삼겹살	FOOD-B
7	1.5	QTY-B
8	접시	UNIT-B
9	를	O
10	먹었어	O

0	오늘	O
1	저녁	O
2	순두부찌개	FOOD-B
3	0.5	QTY-B
4	그릇	UNIT-B
5	과	O
6	오징어볶음	FOOD-B
7	1.5	QTY-B
8	접시	UNIT-B
9	를	O
10	먹었어	O

0	오늘	O
1	점심	O
2	칼국수	FOOD-B
3	0.5	QTY-B
4	그릇	UNIT-B
5	과	O
6	만두	FOOD-B
7	1.5	QTY-B
8	접시	UNIT-B
9	를	O
10	먹었어	O

0	오늘	O
1	아침	O
2	떡국	FOOD-B
3	0.5	QTY-B
4	그릇	UNIT-B
5	과	O
6	계란찜	FOOD-B
7	1.5	QTY-B
8	접시	UNIT-B
9	를	O
10	먹었어	O

0	오늘	O
1	저녁	O
2	부대찌개	FOOD-B
3	0.5	QTY-B
4	그릇	UNIT-B
5	과	O
6	김밥	FOOD-B
7	1.5	QTY-B
8	접시	UNIT-B
9	를	O
10	먹었어	O

0	오늘	O
1	점심	O
2	라면	FOOD-B
3	0.5	QTY-B
4	그릇	UNIT-B
5	과	O
6	볶음밥	FOOD-B
7	1.5	QTY-B
8	접시	UNIT-B
9	를	O
10	먹었어	O

0	오늘	O
1	아침	O
2	해장국	FOOD-B
3	0.5	QTY-B
4	그릇	UNIT-B
5	과	O
6	샐러드	FOOD-B
7	1.5	QTY-B
8	접시	UNIT-B
9	를	O
10	먹었어	O

0	오늘	O
1	저녁	O
2	찜닭	FOOD-B
3	0.5	QTY-B
4	그릇	UNIT-B
5	과	O
6	김치	FOOD-B
7	1.5	QTY-B
8	접시	UNIT-B
9	를	O
10	먹었어	O

0	점심	O
1	에	O
2	김밥	FOOD-B
3	한	QTY-B
4	줄	UNIT-B
5	과	O
6	떡볶이	FOOD-B
7	세	QTY-B
8	접시	UNIT-B
9	를	O

0	저녁	O
1	식사	O
2	로	O
3	삼겹살	FOOD-B
4	500	QTY-B
5	g	UNIT-B
6	을	O
7	구워서	O
8	먹었어	O

0	아침	O
1	에	O
2	바나나	FOOD-B
3	두	QTY-B
4	개	UNIT-B

0	오늘	O
1	점심	O
2	으로	O
3	김치	FOOD-B
4	볶음밥	FOOD-I
5	을	O
6	한	QTY-B
7	그릇	UNIT-B
8	과	O
9	치킨	FOOD-B
10	텐더	FOOD-I
11	세	QTY-B
12	조각	UNIT-B
13	을	O
14	먹었어	O

0	나는	O
1	아침	O
2	에	O
3	계란	FOOD-B
4	두	QTY-B
5	개	UNIT-B

0	점심	O
1	에	O
2	된장찌개	FOOD-B
3	한	QTY-B
4	그릇	UNIT-B
5	과	O
6	김치	FOOD-B
7	조금	QTY-B
8	을	O
9	먹었어	O

0	오늘	O
1	아침	O
2	에	O
3	프렌치토스트	FOOD-B
4	두	QTY-B
5	조각	UNIT-B
6	와	O
7	과일	FOOD-B
8	샐러드	FOOD-I
9	한	QTY-B
10	접시	UNIT-B

0	나는	O
1	샤브샤브	FOOD-B
2	한	QTY-B
3	접시	UNIT-B
4	와	O
5	된장찌개	FOOD-B
6	를	O
7	먹었어	O

0	오늘	O
1	아침	O
2	에	O
3	스크램블	FOOD-B
4	에그	FOOD-I
5	두	QTY-B
6	개	UNIT-B
7	와	O
8	토스트	FOOD-B
9	한	QTY-B
10	조각	UNIT-B
11	을	O
12	먹었어	O
